"systematic_name_nonumber","gene_name","description","SGD","systematic_name_wnumber"
"YFL058W","THI5","Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP","S000001836","4932.YFL058W"
"YDL008W","APC11","Catalytic core subunit, Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity","S000002166","4932.YDL008W"
"YNL079C","TPM1","Major isoform of tropomyosin; binds to and stabilizes actin cables and filaments, which direct polarized cell growth and the distribution of several organelles; acetylated by the NatB complex and acetylated form binds actin most efficiently; TPM1 has a paralog, TPM2, that arose from the whole genome duplication","S000005023","4932.YNL079C"
"YKL110C","KTI12","Protein that plays a role in modification of tRNA wobble nucleosides; protein plays role in tRNA wobble nucleoside modification with Elongator complex; involved in sensitivity to G1 arrest induced by zymocin; interacts with chromatin throughout the genome; also interacts with Cdc19p","S000001593","4932.YKL110C"
"YIL103W","DPH1","Protein required for synthesis of diphthamide; required along with Dph2p, Kti11p, Jjj3p, and Dph5p; diphthamide is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); may act in a complex with Dph2p and Kti11p","S000001365","4932.YIL103W"
"YKL189W","HYM1","Component of the RAM signaling network; is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with Kic1p and Sog2p, localizes to sites of polarized growth during budding and during the mating response","S000001672","4932.YKL189W"
"YIL050W","PCL7","Pho85p cyclin of the Pho80p subfamily; forms a functional kinase complex with Pho85p which phosphorylates Mmr1p and is regulated by Pho81p; involved in glycogen metabolism, expression is cell-cycle regulated; PCL7 has a paralog, PCL6, that arose from the whole genome duplication","S000001312","4932.YIL050W"
"YGL134W","PCL10","Pho85p cyclin; recruits, activates, and targets Pho85p cyclin-dependent protein kinase to its substrate; PCL10 has a paralog, PCL8, that arose from the whole genome duplication","S000003102","4932.YGL134W"
"YBR277C",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YBR278W","S000000481","4932.YBR277C"
"YIL154C","IMP2'","Transcriptional activator involved in maintenance of ion homeostasis; also involved in protection against DNA damage caused by bleomycin and other oxidants; contains a C-terminal leucine-rich repeat","S000001416","4932.YIL154C"
"YBR261C","TAE1","AdoMet-dependent proline methyltransferase; catalyzes the dimethylation of ribosomal proteins Rpl12 and Rps25 at N-terminal proline residues; has a role in protein synthesis; fusion protein localizes to the cytoplasm","S000000465","4932.YBR261C"
"YNL283C","WSC2","Sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway; involved in maintenance of cell wall integrity and recovery from heat shock; required for the arrest of secretion response; WSC2 has a paralog, WSC3, that arose from the whole genome duplication","S000005227","4932.YNL283C"
"YJR118C","ILM1","Protein of unknown function; may be involved in mitochondrial DNA maintenance; required for slowed DNA synthesis-induced filamentous growth","S000003879","4932.YJR118C"
"YHR062C","RPP1","Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia","S000001104","4932.YHR062C"
"YLR322W","VPS65","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 75% of ORF overlaps the verified gene SFH1; deletion causes a vacuolar protein sorting defect and blocks anaerobic growth","S000004314","4932.YLR322W"
"YOR008C","SLG1","Sensor-transducer of the stress-activated PKC1-MPK1 kinase pathway; involved in maintenance of cell wall integrity; required for mitophagy; involved in organization of the actin cytoskeleton; secretory pathway Wsc1p is required for the arrest of secretion response","S000005534","4932.YOR008C"
"YGL151W","NUT1","Component of the RNA polymerase II mediator complex; mediator is required for transcriptional activation and also has a role in basal transcription","S000003119","4932.YGL151W"
"YJR084W",NA,"Protein that forms a complex with Thp3p; may have a role in transcription elongation and/or mRNA splicing; identified as a COP9 signalosome component but phenotype and interactions suggest it may not be involved with the signalosome","S000003844","4932.YJR084W"
"YGL246C","RAI1","Nuclear protein with decapping endonuclease activity; targets mRNAs with unmethylated 7-methylguanosine cap structures and 5'-triphosphates; binds to and stabilizes the exoribonuclease Rat1p; required for pre-rRNA processing; relocalizes to the cytosol in response to hypoxia; homologous to human DOM3Z","S000003215","4932.YGL246C"
"YOR093C","CMR2","Putative protein of unknown function; deletion causes sensitivity to unfolded protein response-inducing agents","S000005619","4932.YOR093C"
"YDR507C","GIN4","Protein kinase involved in bud growth and assembly of the septin ring; proposed to have kinase-dependent and kinase-independent activities; undergoes autophosphorylation; similar to Hsl1p; GIN4 has a paralog, KCC4, that arose from the whole genome duplication","S000002915","4932.YDR507C"
"YKL007W","CAP1","Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress","S000001490","4932.YKL007W"
"YPR114W",NA,"Putative protein of unknown function","S000006318","4932.YPR114W"
"YDR165W","TRM82","Catalytic subunit of a tRNA methyltransferase complex; Trm8p and Trm82p comprise an enzyme that catalyzes a methyl-transfer from S-adenosyl-l-methionine to the N(7) atom of guanine at position 46 in tRNA; Trm8 lacks catalytic activity if not bound to Trm82p; relocalizes to the cytosol in response to hypoxia; mutation in human ortholog WDR4 causes microcephalic primordial dwarfism","S000002572","4932.YDR165W"
"YGR024C","THG1","tRNAHis guanylyltransferase; adds a guanosine residue to the 5' end of tRNAH is after transcription and RNase P cleavage; can also catalyze reverse (3'-5') polymerization with certain substrates in a template-dependent reaction; couples nuclear division and migration to cell budding and cytokinesis; essential enzyme conserved among eukaryotes","S000003256","4932.YGR024C"
"YPR057W","BRR1","snRNP protein component of spliceosomal snRNPs; required for pre-mRNA splicing and snRNP biogenesis; in null mutant newly-synthesized snRNAs are destabilized and 3'-end processing is slowed","S000006261","4932.YPR057W"
"YFR005C","SAD1","Conserved zinc-finger domain protein involved in pre-mRNA splicing; critical for splicing of nearly all intron-containing genes; required for assembly of U4 snRNA into the U4/U6 particle","S000001901","4932.YFR005C"
"YHL034C","SBP1","Protein that binds eIF4G and has a role in repression of translation; has an RGG motif; found in cytoplasmic P bodies; binds to mRNAs under glucose starvation stress, most often in the 5' UTR; found associated with small nucleolar RNAs snR10 and snR11; SBP1 has a paralog, RNP1, that arose from the whole genome duplication","S000001026","4932.YHL034C"
"YLR223C","IFH1","Coactivator, regulates transcription of ribosomal protein (RP) genes; recruited to RP gene promoters during optimal growth conditions via Fhl1p; subunit of CURI, a complex that coordinates RP production and pre-rRNA processing; regulated by acetylation and phosphorylation at different growth states via TORC1 signaling; IFH1 has a paralog, CRF1, that arose from the whole genome duplication","S000004213","4932.YLR223C"
"YHR118C","ORC6","Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; phosphorylated by Cdc28p; mutation in the human Orc6p is linked to Meier-Gorlin syndrome","S000001160","4932.YHR118C"
"YMR124W","EPO1","Protein involved in septin-ER tethering; interacts with ER membrane protein, Scs2p, and Shs1p, a septin ring component, at bud neck to create ER diffusion barrier; GFP-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; interacts with Crm1p in two-hybrid assay; YMR124W has a paralog, YLR031W, that arose from the whole genome duplication","S000004731","4932.YMR124W"
"YNL278W","CAF120","Part of the CCR4-NOT transcriptional regulatory complex; involved in controlling mRNA initiation, elongation, and degradation; contains a PH-like domain; CAF120 has a paralog, SKG3, that arose from the whole genome duplication","S000005222","4932.YNL278W"
"YOL142W","RRP40","Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain both S1 and KH RNA binding domains; mutations in the human homolog, EXOSC3, cause pontocerebellar hypoplasia with motor neuron degeneration","S000005502","4932.YOL142W"
"YLR346C","CIS1","Protein of unknown function found in mitochondria; expression is regulated by transcription factors involved in pleiotropic drug resistance, Pdr1p and Yrr1p; not an essential gene; YLR346C has a paralog, YGR035C, that arose from the whole genome duplication","S000004338","4932.YLR346C"
"YCL073C","GEX1","Proton:glutathione antiporter; localized to the vacuolar and plasma membranes; imports glutathione from the vacuole and exports it through the plasma membrane; has a role in resistance to oxidative stress and modulation of the PKA pathway; GEX1 has a paralog, GEX2, that arose from a segmental duplication","S000000575","4932.YCL073C"
"YOL098C","SDD3","Putative metalloprotease; overproduction suppresses lethality due to expression of the dominant PET9 allele AAC2-A128P","S000005458","4932.YOL098C"
"YDR287W","INM2","Inositol monophosphatase; involved in biosynthesis of inositol; enzymatic activity requires magnesium ions and is inhibited by lithium and sodium ions; inm1 inm2 double mutant lacks inositol auxotrophy","S000002695","4932.YDR287W"
"YDL117W","CYK3","SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants","S000002275","4932.YDL117W"
"YNL016W","PUB1","Poly (A)+ RNA-binding protein; abundant mRNP-component protein that binds mRNA and is required for stability of many mRNAs; component of glucose deprivation induced stress granules, involved in P-body-dependent granule assembly; implicated in regulation of translation; carries Q/N-rich domain at C- terminus, identified as candidate prion; human homolog Tia1 is critical for normal synaptic plasticity; protein abundance increases in response to DNA replication stress","S000004961","4932.YNL016W"
"YPR111W","DBF20","Ser/Thr kinase involved in late nuclear division; one of the mitotic exit network (MEN) proteins; necessary for the execution of cytokinesis; also plays a role in regulating the stability of SWI5 and CLB2 mRNAs; DBF20 has a paralog, DBF2, that arose from the whole genome duplication","S000006315","4932.YPR111W"
"YDR138W","HPR1","Subunit of THO/TREX complexes; this complex couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p","S000002545","4932.YDR138W"
"YIL150C","MCM10","Essential chromatin-associated protein; involved in initiation of DNA replication; required for association of MCM2-7 complex with replication origins; required to stabilize catalytic subunit of DNA polymerase-alpha; self-associates through its N-terminal domain","S000001412","4932.YIL150C"
"YCR010C","ADY2","Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication","S000000603","4932.YCR010C"
"YJL026W","RNR2","Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits; RNR2 has a paralog, RNR4, that arose from the whole genome duplication","S000003563","4932.YJL026W"
"YMR069W","NAT4","N alpha-acetyl-transferase; involved in acetylation of the N-terminal residues of histones H4 and H2A","S000004673","4932.YMR069W"
"YGR134W","CAF130","Subunit of the CCR4-NOT transcriptional regulatory complex; CCR4-NOT complex is evolutionarily-conserved and involved in controlling mRNA initiation, elongation, and degradation","S000003366","4932.YGR134W"
"YOL123W","HRP1","Subunit of cleavage factor I; cleavage factor I is a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly (A) signal sequences; required for genome stability","S000005483","4932.YOL123W"
"YOR238W",NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm","S000005764","4932.YOR238W"
"YJL140W","RPB4","RNA polymerase II subunit B32; forms dissociable heterodimer with Rpb7p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNAPII complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation","S000003676","4932.YJL140W"
"YDR404C","RPB7","RNA polymerase II subunit B16; forms dissociable heterodimer with Rpb4p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation","S000002812","4932.YDR404C"
"YHR152W","SPO12","Nucleolar protein of unknown function; positive regulator of mitotic exit; involved in regulating release of Cdc14p from the nucleolus in early anaphase, may play similar role in meiosis; SPO12 has a paralog, BNS1, that arose from the whole genome duplication","S000001195","4932.YHR152W"
"YML062C","MFT1","Subunit of the THO complex; THO is a nuclear complex comprised of Hpr1p, Mft1p, Rlr1p, and Thp2p, that is involved in transcription elongation and mitotic recombination; involved in telomere maintenance","S000004527","4932.YML062C"
"YLR270W","DCS1","Non-essential hydrolase involved in mRNA decapping; activates Xrn1p; may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; acts as inhibitor of neutral trehalase Nth1p; required for growth on glycerol medium; protein abundance increases in response to DNA replication stress; DCS1 has a paralog, DCS2, that arose from the whole genome duplication","S000004260","4932.YLR270W"
"YMR181C",NA,"Protein of unknown function; mRNA transcribed as part of a bicistronic transcript with a predicted transcriptional repressor RGM1/YMR182C; mRNA is destroyed by nonsense-mediated decay (NMD); not an essential gene; YMR181C has a paralog, YPL229W, that arose from the whole genome duplication","S000004793","4932.YMR181C"
"YBL066C","SEF1","Putative transcription factor; has homolog in Kluyveromyces lactis","S000000162","4932.YBL066C"
"YDR531W","CAB1","Pantothenate kinase, ATP:D-pantothenate 4'-phosphotransferase; catalyzes the first committed step in the universal biosynthetic pathway for synthesis of coenzyme A (CoA); transcriptionally regulated by Upc2p via a sterol response element","S000002939","4932.YDR531W"
"YDR110W","FOB1","Nucleolar protein that binds the rDNA replication fork barrier site; required for replication fork blocking, recombinational hotspot activity, condensin recruitment to replication fork barrier (RFB), and rDNA repeat segregation; related to retroviral integrases","S000002517","4932.YDR110W"
"YPL105C","SYH1","Protein of unknown function that influences nuclear pore distribution; co-purifies with ribosomes; contains a GYF domain, which bind proline-rich sequences; deletion extends chronological lifespan; SYH1 has a paralog, SMY2, that arose from the whole genome duplication","S000006026","4932.YPL105C"
"YFL028C","CAF16","Part of evolutionarily-conserved CCR4-NOT regulatory complex; contains single ABC-type ATPase domain but no transmembrane domain; interacts with several subunits of Mediator","S000001866","4932.YFL028C"
"YIL071C","PCI8","Possible shared subunit of Cop9 signalosome (CSN) and eIF3; binds eIF3b subunit Prt1p, has possible dual functions in transcriptional and translational control, contains a PCI (Proteasome-COP9 signalosome (CSN)-eIF3) domain","S000001333","4932.YIL071C"
"YJR116W","TDA4","Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele","S000003877","4932.YJR116W"
"YCR081W","SRB8","Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression","S000000677","4932.YCR081W"
"YJR078W","BNA2","Tryptophan 2,3-dioxygenase or indoleamine 2,3-dioxygenase; required for de novo biosynthesis of NAD from tryptophan via kynurenine; interacts genetically with telomere capping gene CDC13; regulated by Hst1p and Aftp","S000003839","4932.YJR078W"
"YPL123C","RNY1","Vacuolar RNase of the T(2) family; relocalizes to the cytosol where it cleaves tRNAs upon oxidative or stationary phase stress; required for tRNA-specific translational pausing suring oxidative stress; promotes apoptosis under stress conditions and this function is independent of Rny1p catalytic activity","S000006044","4932.YPL123C"
"YBL111C",NA,"Helicase-like protein encoded within the telomeric Y' element; relocalizes from mitochondrion to cytoplasm upon DNA replication stress","S000002151","4932.YBL111C"
"YPR198W","SGE1","Plasma membrane multidrug transporter; member of the major facilitator superfamily; acts as an extrusion permease; partial multicopy suppressor of gal11 mutations","S000006402","4932.YPR198W"
"YNL268W","LYP1","Lysine permease; one of three amino acid permeases (Alp1p, Can1p, Lyp1p) responsible for uptake of cationic amino acids","S000005212","4932.YNL268W"
"YLR405W","DUS4","Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus3p","S000004397","4932.YLR405W"
"YDR352W","YPQ2","Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; mutant phenotype is functionally complemented by rat PQLC2 vacuolar transporter","S000002760","4932.YDR352W"
"YKL163W","PIR3","O-glycosylated covalently-bound cell wall protein; required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway; coding sequence contains length polymorphisms in different strains; PIR3 has a paralog, HSP150, that arose from the whole genome duplication","S000001646","4932.YKL163W"
"YBR147W","RTC2","Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; positive regulation by Lys14p suggests that lysine may be the primary substrate; member of the PQ-loop family, with seven transmembrane domains; similar to mammalian PQLC2 vacuolar transporter; RTC2 has a paralog, YPQ1, that arose from the whole genome duplication","S000000351","4932.YBR147W"
"YDR090C",NA,"Putative protein of unknown function","S000002497","4932.YDR090C"
"YBL042C","FUI1","High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress","S000000138","4932.YBL042C"
"YOL092W","YPQ1","Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; similar to mammalian PQLC2 vacuolar transporter; YPQ1 has a paralog, RTC2, that arose from the whole genome duplication","S000005452","4932.YOL092W"
"YGL067W","NPY1","NADH diphosphatase (pyrophosphatase); hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes; nudix hydrolase family member","S000003035","4932.YGL067W"
"YIL006W","YIA6","Mitochondrial NAD+ transporter; involved in the transport of NAD+ into the mitochondria (see also YEA6); member of the mitochondrial carrier subfamily; disputed role as a pyruvate transporter; has putative mouse and human orthologs; YIA6 has a paralog, YEA6, that arose from the whole genome duplication","S000001268","4932.YIL006W"
"YGL032C","AGA2","Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds","S000003000","4932.YGL032C"
"YCR037C","PHO87","Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog, PHO90, that arose from the whole genome duplication","S000000633","4932.YCR037C"
"YMR275C","BUL1","Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex; disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases; BUL1 has a paralog, BUL2, that arose from the whole genome duplication","S000004888","4932.YMR275C"
"YDR428C","BNA7","Formylkynurenine formamidase; involved in the de novo biosynthesis of NAD from tryptophan via kynurenine","S000002836","4932.YDR428C"
"YDR040C","ENA1","P-type ATPase sodium pump; involved in Na+ and Li+ efflux to allow salt tolerance","S000002447","4932.YDR040C"
"YKR093W","PTR2","Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p","S000001801","4932.YKR093W"
"YPR131C","NAT3","Catalytic subunit of the NatB N-terminal acetyltransferase; NatB catalyzes acetylation of the amino-terminal methionine residues of all proteins beginning with Met-Asp or Met-Glu and of some proteins beginning with Met-Asn or Met-Met","S000006335","4932.YPR131C"
"YLR209C","PNP1","Purine nucleoside phosphorylase; specifically metabolizes inosine and guanosine nucleosides; involved in the nicotinamide riboside salvage pathway","S000004199","4932.YLR209C"
"YCL057W","PRD1","Zinc metalloendopeptidase; found in the cytoplasm and intermembrane space of mitochondria; with Cym1p, involved in degradation of mitochondrial proteins and of presequence peptides cleaved from imported proteins; protein abundance increases in response to DNA replication stress","S000000562","4932.YCL057W"
"YLR231C","BNA5","Kynureninase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p","S000004221","4932.YLR231C"
"YLR017W","MEU1","Methylthioadenosine phosphorylase (MTAP); catalyzes the initial step in the methionine salvage pathway; affects polyamine biosynthesis through regulation of ornithine decarboxylase (Spe1p) activity; regulates ADH2 gene expression","S000004007","4932.YLR017W"
"YER056C","FCY2","Purine-cytosine permease; mediates purine (adenine, guanine, and hypoxanthine) and cytosine accumulation; relative distribution to the vacuole increases upon DNA replication stress","S000000858","4932.YER056C"
"YIR028W","DAL4","Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation","S000001467","4932.YIR028W"
"YJL072C","PSF2","Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p); complex is localized to DNA replication origins and implicated in assembly of the DNA replication machinery","S000003608","4932.YJL072C"
"YJL163C",NA,"Putative protein of unknown function","S000003699","4932.YJL163C"
"YPR124W","CTR1","High-affinity copper transporter of plasma membrane; mediates nearly all copper uptake under low copper conditions; transcriptionally induced at low copper levels and degraded at high copper levels; protein increases in abundance and relocalizes from nucleus to plasma membrane upon DNA replication stress; human homolog SLC31A1 can complement a yeast ctr1 ctr3 double deletion","S000006328","4932.YPR124W"
"YEL006W","YEA6","Putative mitochondrial NAD+ transporter; member of the mitochondrial carrier subfamily (see also YIA6); has putative human ortholog; YEA6 has a paralog, YIA6, that arose from the whole genome duplication","S000000732","4932.YEL006W"
"YNR013C","PHO91","Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth","S000005296","4932.YNR013C"
"YOR155C","ISN1","Inosine 5'-monophosphate (IMP)-specific 5'-nucleotidase; catalyzes the breakdown of IMP to inosine; responsible for production of nicotinamide riboside and nicotinic acid riboside; expression positively regulated by nicotinic acid and glucose availability; does not show similarity to known 5'-nucleotidases from other organisms","S000005681","4932.YOR155C"
"YJL198W","PHO90","Low-affinity phosphate transporter; acts upstream of Pho81p in regulation of the PHO pathway; deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth; PHO90 has a paralog, PHO87, that arose from the whole genome duplication","S000003734","4932.YJL198W"
"YDR131C",NA,"F-box protein subunit of SCF ubiquitin ligase complex; substrate-specific adaptor subunit that recruits substrates to a core ubiquitination complex","S000002538","4932.YDR131C"
"YPR021C","AGC1","Mitochondrial amino acid transporter; acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis; human homolog SLC25A13 complements yeast null mutant","S000006225","4932.YPR021C"
"YOL089C","HAL9","Putative transcription factor containing a zinc finger; overexpression increases salt tolerance through increased expression of the ENA1 (Na+/Li+ extrusion pump) gene while gene disruption decreases both salt tolerance and ENA1 expression; HAL9 has a paralog, TBS1, that arose from the whole genome duplication","S000005449","4932.YOL089C"
"YMR253C",NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; YMR253C is not an essential gene","S000004866","4932.YMR253C"
"YMR310C",NA,"Putative methyltransferase; predicted to be involved in ribosome biogenesis; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; not an essential gene; YMR310C has a paralog, YGR283C, that arose from the whole genome duplication","S000004927","4932.YMR310C"
"YOR071C","NRT1","High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity","S000005597","4932.YOR071C"
"YER135C",NA,"Putative protein of unknown function; conserved among S. cerevisiae strains; YER135C is not an essential gene","S000000937","4932.YER135C"
"YKR078W",NA,"Cytoplasmic protein of unknown function; potential Cdc28p substrate; contains a Phox homology (PX) domain and specifically binds phosphatidylinositol 3-phosphate (PtdIns-3-P); YKR078W has a paralog, VPS5, that arose from the whole genome duplication","S000001786","4932.YKR078W"
"YMR221C","FMP42","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; physical interaction with Atg27p suggests a possible role in autophagy","S000004834","4932.YMR221C"
"YOR307C","SLY41","Protein involved in ER-to-Golgi transport","S000005834","4932.YOR307C"
"YBR069C","TAT1","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress","S000000273","4932.YBR069C"
"YML038C","YMD8","Putative nucleotide sugar transporter; has similarity to Vrg4p","S000004502","4932.YML038C"
"YBL113C",NA,"Helicase-like protein encoded within the telomeric Y' element","S000002153","4932.YBL113C"
"YPL265W","DIP5","Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress","S000006186","4932.YPL265W"
"YLR245C","CDD1","Cytidine deaminase; catalyzes the modification of cytidine to uridine in vitro but native RNA substrates have not been identified, localizes to both the nucleus and cytoplasm","S000004235","4932.YLR245C"
"YPL274W","SAM3","High-affinity S-adenosylmethionine permease; required for utilization of S-adenosylmethionine as a sulfur source; has similarity to S-methylmethionine permease Mmp1p","S000006195","4932.YPL274W"
"YKR017C","HEL1","RING finger ubiquitin ligase (E3); involved in ubiquitination and degradation of excess histones; interacts with Ubc4p and Rad53p; null mutant sensitive to hydroxyurea (HU)","S000001725","4932.YKR017C"
"YMR010W","ANY1","Putative protein of unknown function; null allele suppresses the lethality of neo1 and dop1 null alleles, as well as the growth defect of a mon2 null allele, and the cold sensitivity of a drs2 null; proposed function as a phospholipid scramblase that reduces membrane asymmetry; PQ loop family member; localizes to the cytoplasm and endoplasmic reticulum in HTP studies; non-essential gene","S000004612","4932.YMR010W"
"YOR316C","COT1","Vacuolar transporter that mediates zinc transport into the vacuole; overexpression confers resistance to cobalt and rhodium; protein abundance increases in response to DNA replication stress; COT1 has a paralog, ZRC1, that arose from the whole genome duplication","S000005843","4932.YOR316C"
"YJL193W",NA,"Putative protein of unknown function; predicted to encode a triose phosphate transporter subfamily member based on phylogenetic analysis; similar to YOR307C/SLY41; deletion mutant has a respiratory growth defect","S000003729","4932.YJL193W"
"YGL132W",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene SNT2/YGL131C","S000003100","4932.YGL132W"
"YMR251W","GTO3","Omega class glutathione transferase; putative cytosolic localization","S000004863","4932.YMR251W"
"YMR200W","ROT1","Molecular chaperone involved in protein folding in ER; mutation causes defects in cell wall synthesis and lysis of autophagic bodies, suppresses tor2 mutations, and is synthetically lethal with kar2-1 and with rot2 mutations; involved in N-linked glycosylation and O-mannosylation; transmembrane helix Ser250 is essential for Rot1p to interact with other membrane components and exert its functional role, avoiding exposure of Ser H-bonding group at lipid-exposed surface","S000004813","4932.YMR200W"
"YPL096C-A","ERI1","Endoplasmic reticulum membrane protein that binds and inhibits Ras2p; binds to and inhibits GTP-bound Ras2p at the endoplasmic reticulum (ER); component of the GPI-GnT complex which catalyzes the first step in GPI-anchor biosynthesis; probable homolog of mammalian PIG-Y protein","S000028423","4932.YPL096C-A"
"YJR019C","TES1","Peroxisomal acyl-CoA thioesterase; likely to be involved in fatty acid oxidation rather than fatty acid synthesis; conserved protein also found in human peroxisomes; TES1 mRNA levels increase during growth on fatty acids","S000003780","4932.YJR019C"
